date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2009-01-01,6,4,0.0,8.7,2,2,31,10:35 AM,10:17 PM,07:43 AM,05:40 PM,0,1,5,1,24,22,72,0.0,1022,6,10,218,19
2009-01-02,9,3,0.0,8.7,3,3,38,11:02 AM,11:16 PM,07:44 AM,05:41 PM,2,7,8,7,9,3,66,0.0,1025,9,10,231,6
2009-01-03,12,7,0.0,8.7,3,3,45,11:28 AM,No moonset,07:44 AM,05:42 PM,5,7,9,7,21,21,76,0.0,1023,12,10,195,14
2009-01-04,13,8,0.0,8.7,4,4,52,11:56 AM,12:16 AM,07:44 AM,05:43 PM,1,8,10,8,25,21,52,0.0,1020,13,10,183,16
2009-01-05,14,9,0.0,8.7,4,4,60,12:27 PM,01:19 AM,07:44 AM,05:44 PM,6,9,11,9,25,8,71,0.0,1020,14,10,194,16
2009-01-06,15,10,0.0,8.7,4,4,67,01:04 PM,02:26 AM,07:44 AM,05:44 PM,1,12,13,12,21,3,45,0.0,1017,15,10,164,13
2009-01-07,15,11,0.0,8.7,4,4,74,01:48 PM,03:37 AM,07:44 AM,05:45 PM,5,11,13,11,31,12,63,0.1,1016,15,10,201,20
2009-01-08,13,11,0.0,8.7,4,4,82,02:42 PM,04:49 AM,07:44 AM,05:46 PM,9,11,12,11,18,17,80,0.3,1020,13,10,224,13
2009-01-09,12,10,0.0,8.7,4,4,89,03:47 PM,05:59 AM,07:44 AM,05:47 PM,8,10,12,10,15,19,79,0.5,1022,12,10,209,11
2009-01-10,13,9,0.0,8.7,4,4,96,04:59 PM,07:03 AM,07:44 AM,05:48 PM,6,11,11,11,9,21,69,0.2,1022,13,9,229,7
2009-01-11,12,9,0.0,7.1,4,4,100,06:15 PM,07:57 AM,07:44 AM,05:49 PM,7,9,11,9,21,28,80,2.7,1021,12,10,210,14
2009-01-12,11,7,0.0,8.7,3,3,89,07:31 PM,08:42 AM,07:44 AM,05:50 PM,0,7,9,7,22,0,55,0.0,1027,11,10,121,15
2009-01-13,14,6,0.0,8.7,3,3,82,08:42 PM,09:19 AM,07:44 AM,05:50 PM,-1,11,11,11,10,1,43,0.0,1029,14,10,141,7
2009-01-14,16,9,0.0,7.1,4,4,75,09:50 PM,09:52 AM,07:43 AM,05:51 PM,-1,12,13,12,19,25,38,0.0,1028,16,10,119,10
2009-01-15,18,12,0.0,8.7,4,4,68,10:54 PM,10:21 AM,07:43 AM,05:52 PM,1,14,15,14,21,13,39,0.0,1026,18,10,146,11
2009-01-16,17,12,0.0,8.7,5,5,60,11:56 PM,10:49 AM,07:43 AM,05:53 PM,3,15,15,15,26,26,43,0.0,1020,17,10,109,13
2009-01-17,15,11,0.0,8.7,4,4,53,No moonrise,11:18 AM,07:43 AM,05:54 PM,4,13,14,13,28,10,58,0.5,1016,15,10,224,18
2009-01-18,13,11,0.0,8.7,4,4,46,12:57 AM,11:48 AM,07:42 AM,05:55 PM,9,12,13,12,9,8,80,0.0,1019,13,10,256,7
2009-01-19,13,9,0.0,7.1,4,4,38,01:57 AM,12:20 PM,07:42 AM,05:56 PM,8,11,12,11,17,26,77,0.1,1019,13,10,211,12
2009-01-20,12,11,0.0,8.7,4,4,31,02:56 AM,12:58 PM,07:42 AM,05:57 PM,8,11,12,11,11,21,79,0.1,1019,12,10,201,8
2009-01-21,17,10,0.0,7.1,4,4,24,03:54 AM,01:40 PM,07:41 AM,05:58 PM,6,13,14,13,19,21,62,0.0,1020,17,10,113,12
2009-01-22,19,13,0.0,8.7,5,5,17,04:49 AM,02:27 PM,07:41 AM,05:59 PM,5,16,17,16,27,1,47,0.0,1020,19,10,140,14
2009-01-23,18,14,0.0,10.0,5,5,9,05:40 AM,03:20 PM,07:40 AM,06:00 PM,1,15,15,15,45,35,39,1.9,1015,18,10,138,24
2009-01-24,15,11,0.0,10.0,4,4,2,06:25 AM,04:16 PM,07:40 AM,06:01 PM,7,11,13,11,30,36,66,1.8,1009,15,10,189,22
2009-01-25,16,10,0.0,10.6,4,4,0,07:06 AM,05:15 PM,07:39 AM,06:02 PM,6,11,13,11,31,14,65,0.0,1014,16,10,183,21
2009-01-26,17,13,0.0,10.6,4,4,0,07:41 AM,06:14 PM,07:39 AM,06:03 PM,6,13,14,13,36,26,61,0.1,1015,17,10,202,24
2009-01-27,15,12,0.0,10.7,4,4,5,08:11 AM,07:13 PM,07:38 AM,06:04 PM,9,13,13,13,15,35,76,0.0,1020,15,10,213,10
2009-01-28,20,13,0.0,10.7,5,5,12,08:39 AM,08:11 PM,07:38 AM,06:05 PM,6,16,16,16,25,24,52,0.0,1014,20,10,144,14
2009-01-29,15,11,0.0,10.7,4,4,20,09:06 AM,09:10 PM,07:37 AM,06:06 PM,6,11,13,11,42,18,64,1.0,1011,15,10,206,28
2009-01-30,11,10,0.0,6.9,3,3,27,09:32 AM,10:10 PM,07:36 AM,06:07 PM,7,8,11,8,45,68,77,4.2,1011,11,10,213,32
2009-01-31,11,10,0.0,5.4,3,3,31,09:59 AM,11:11 PM,07:36 AM,06:08 PM,7,8,11,8,44,60,79,7.4,1011,11,9,209,30
2009-02-01,12,10,0.0,10.7,4,4,43,10:28 AM,No moonset,07:35 AM,06:09 PM,8,9,11,9,23,23,83,2.2,1017,12,10,218,17
2009-02-02,12,10,0.0,10.8,4,4,50,11:02 AM,12:15 AM,07:34 AM,06:10 PM,9,10,12,10,17,29,83,1.0,1022,12,10,230,13
